"Do you have any comments regarding the order?","Haben Sie Anmerkungen zur Bestellung?"
"Enter your comment...","Anmerkungen eingeben..."
"Order Comment","Anmerkungen"
"The order comment could not be saved","Die Anmerkungen zur Bestellung konnten nicht gespeichert werden"
"Cart %1 doesn't contain products","Warenkorb %1 enthält keine Produkte"
"Your comment has been saved.","Ihr Kommentar wurde gespeichert."
"There was an error when updating the quote.","Beim Aktualisieren des Warenkorbs ist ein Fehler aufgetreten."
"Starts with field closed","Kommentarfeld initial geschlossen"
"Starts with field opened","Kommentarfeld initial geöffnet"
"Render field without collapse","Feld nicht einklappbar darstellen"
"Comment is too long","Das Kommentar ist zu lang"
"Edit Order Comment","Kommentar zur Bestellung bearbeiten"
"Save Comment","Kommentar speichern"
"Enter comment","Kommentar angeben"
"Remaining characters:","Verbleibende Zeichen:"
"Maximum length in characters","Maximale Anzahl von Zeichen"
"Show comments in customer account","Zeige Kommentar im Kunden-Account"
"Initial collapse state on checkout page","Initiale Anzeige auf der Checkout-Seite"
"Starts with field closed if comment is empty","Feld zunächst geschlossen, wenn es leer ist"
